image1,image2,similar,elapsed
./imgs/airplane.png,./imgs/lena.bmp,0.7034852564642133, 0.179543
./imgs/airplane.png,./imgs/lena.gif,0.7096152429760196, 0.190111
./imgs/airplane.png,./imgs/lena.jpg,0.692253254080753, 0.176393
./imgs/airplane.png,./imgs/lena.png,0.7034852564642133, 0.139879
./imgs/airplane.png,./imgs/monarch.bmp,1.0, 0.000006
./imgs/airplane.png,./imgs/monarch.gif,1.0, 0.000005
./imgs/airplane.png,./imgs/monarch.jpg,1.0, 0.000006
./imgs/airplane.png,./imgs/monarch.png,1.0, 0.000005
./imgs/airplane.png,./imgs/peppers.bmp,0.7671787501038815, 0.130674
./imgs/airplane.png,./imgs/peppers.gif,0.7745123629445831, 0.134065
./imgs/airplane.png,./imgs/peppers.jpg,0.7590074070497632, 0.152430
./imgs/airplane.png,./imgs/peppers.png,0.7671787501038815, 0.133690
./imgs/arctichare.bmp,./imgs/airplane.bmp,1.0, 0.000008
./imgs/arctichare.bmp,./imgs/airplane.gif,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/airplane.jpg,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/airplane.png,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/arctichare.gif,0.012462702288001282, 0.100946
./imgs/arctichare.bmp,./imgs/arctichare.jpg,0.009183218006635574, 0.114635
./imgs/arctichare.bmp,./imgs/arctichare.png,0.0, 0.117015
./imgs/arctichare.bmp,./imgs/baboon.bmp,1.0, 0.000010
./imgs/arctichare.bmp,./imgs/baboon.gif,1.0, 0.000007
./imgs/arctichare.bmp,./imgs/baboon.jpg,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/baboon.png,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/boat.bmp,1.0, 0.000008
./imgs/arctichare.bmp,./imgs/boat.gif,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/boat.jpg,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/boat.png,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/cat.bmp,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/cat.gif,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/cat.jpg,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/cat.png,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/fruits.bmp,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/fruits.gif,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/fruits.jpg,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/fruits.png,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/frymire.bmp,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/frymire.gif,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/frymire.jpg,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/frymire.png,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/girl.bmp,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/girl.gif,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/girl.jpg,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/girl.png,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/goldhill.bmp,1.0, 0.000007
./imgs/arctichare.bmp,./imgs/goldhill.gif,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/goldhill.jpg,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/goldhill.png,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/lena.bmp,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/lena.gif,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/lena.jpg,1.0, 0.000007
./imgs/arctichare.bmp,./imgs/lena.png,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/monarch.bmp,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/monarch.gif,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/monarch.jpg,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/monarch.png,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/peppers.bmp,1.0, 0.000004
./imgs/arctichare.bmp,./imgs/peppers.gif,1.0, 0.000006
./imgs/arctichare.bmp,./imgs/peppers.jpg,1.0, 0.000005
./imgs/arctichare.bmp,./imgs/peppers.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/airplane.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/airplane.gif,1.0, 0.000005
./imgs/arctichare.gif,./imgs/airplane.jpg,1.0, 0.000005
